ts_code,trade_date,fd_share,fund_type,market,source
589720.SH,20250731,66382.3,,SH,citydata_fund_share
589720.SH,20250801,48582.3,,SH,citydata_fund_share
589720.SH,20250804,45282.3,,SH,citydata_fund_share
589720.SH,20250805,44482.3,,SH,citydata_fund_share
589720.SH,20250806,36782.3,,SH,citydata_fund_share
589720.SH,20250807,38282.3,,SH,citydata_fund_share
589720.SH,20250808,38982.3,,SH,citydata_fund_share
589720.SH,20250811,37782.3,,SH,citydata_fund_share
589720.SH,20250812,40382.3,,SH,citydata_fund_share
589720.SH,20250813,31982.3,,SH,citydata_fund_share
589720.SH,20250814,25782.3,,SH,citydata_fund_share
589720.SH,20250815,24082.3,,SH,citydata_fund_share
589720.SH,20250818,22082.3,,SH,citydata_fund_share
589720.SH,20250819,21482.3,,SH,citydata_fund_share
589720.SH,20250820,23082.3,,SH,citydata_fund_share
589720.SH,20250821,22682.3,,SH,citydata_fund_share
589720.SH,20250822,22582.3,,SH,citydata_fund_share
589720.SH,20250825,22582.3,,SH,citydata_fund_share
589720.SH,20250826,23282.3,,SH,citydata_fund_share
589720.SH,20250827,24382.3,,SH,citydata_fund_share
589720.SH,20250828,28182.3,,SH,citydata_fund_share
589720.SH,20250829,26282.3,,SH,citydata_fund_share
589720.SH,20250901,26482.3,,SH,citydata_fund_share
589720.SH,20250902,28982.3,,SH,citydata_fund_share
589720.SH,20250903,28882.3,,SH,citydata_fund_share
589720.SH,20250904,30482.3,,SH,citydata_fund_share
589720.SH,20250905,29782.3,,SH,citydata_fund_share
589720.SH,20250908,31582.3,,SH,citydata_fund_share
589720.SH,20250909,35382.3,,SH,citydata_fund_share
589720.SH,20250910,36182.3,,SH,citydata_fund_share
589720.SH,20250911,37682.3,,SH,citydata_fund_share
589720.SH,20250912,36482.3,,SH,citydata_fund_share
589720.SH,20250915,35482.3,,SH,citydata_fund_share
589720.SH,20250916,36182.3,,SH,citydata_fund_share
589720.SH,20250917,36182.3,,SH,citydata_fund_share
589720.SH,20250918,35182.3,,SH,citydata_fund_share
589720.SH,20250919,35382.3,,SH,citydata_fund_share
589720.SH,20250922,35782.3,,SH,citydata_fund_share
589720.SH,20250923,38982.3,,SH,citydata_fund_share
589720.SH,20250924,37982.3,,SH,citydata_fund_share
589720.SH,20250925,39082.3,,SH,citydata_fund_share
589720.SH,20250926,42982.3,,SH,citydata_fund_share
589720.SH,20250929,44182.3,,SH,citydata_fund_share
589720.SH,20250930,41582.3,,SH,citydata_fund_share
589720.SH,20251009,46582.3,,SH,citydata_fund_share
589720.SH,20251010,53182.3,,SH,citydata_fund_share
589720.SH,20251013,53682.3,,SH,citydata_fund_share
589720.SH,20251014,58082.3,,SH,citydata_fund_share
589720.SH,20251015,58582.3,,SH,citydata_fund_share
589720.SH,20251016,56682.3,,SH,citydata_fund_share
589720.SH,20251017,60282.3,,SH,citydata_fund_share
589720.SH,20251020,59782.3,,SH,citydata_fund_share
589720.SH,20251021,59682.3,,SH,citydata_fund_share
589720.SH,20251022,59482.3,,SH,citydata_fund_share
589720.SH,20251023,64182.3,,SH,citydata_fund_share
589720.SH,20251024,63482.3,,SH,citydata_fund_share
589720.SH,20251027,63082.3,,SH,citydata_fund_share
589720.SH,20251028,62482.3,,SH,citydata_fund_share
589720.SH,20251029,67982.3,,SH,citydata_fund_share
589720.SH,20251030,67682.3,,SH,citydata_fund_share
589720.SH,20251031,70382.3,,SH,citydata_fund_share
589720.SH,20251103,72182.3,,SH,citydata_fund_share
589720.SH,20251104,80382.3,,SH,citydata_fund_share
589720.SH,20251105,85982.3,,SH,citydata_fund_share
589720.SH,20251106,90082.3,,SH,citydata_fund_share
589720.SH,20251107,98282.3,,SH,citydata_fund_share
589720.SH,20251110,100482.3,,SH,citydata_fund_share
589720.SH,20251111,98282.3,,SH,citydata_fund_share
589720.SH,20251112,97282.3,,SH,citydata_fund_share
589720.SH,20251113,87382.3,,SH,citydata_fund_share
589720.SH,20251114,81282.3,,SH,citydata_fund_share
589720.SH,20251117,82582.3,,SH,citydata_fund_share
589720.SH,20251118,84882.3,,SH,citydata_fund_share
589720.SH,20251119,87582.3,,SH,citydata_fund_share
589720.SH,20251120,87882.3,,SH,citydata_fund_share
589720.SH,20251121,89282.3,,SH,citydata_fund_share
589720.SH,20251124,86782.3,,SH,citydata_fund_share
589720.SH,20251125,79082.3,,SH,citydata_fund_share
589720.SH,20251126,76982.3,,SH,citydata_fund_share
589720.SH,20251127,75082.3,,SH,citydata_fund_share
589720.SH,20251128,71682.3,,SH,citydata_fund_share
589720.SH,20251201,72382.3,,SH,citydata_fund_share
589720.SH,20251202,73482.3,,SH,citydata_fund_share
589720.SH,20251203,74482.3,,SH,citydata_fund_share
589720.SH,20251204,74982.3,,SH,citydata_fund_share
589720.SH,20251205,74082.3,,SH,citydata_fund_share
589720.SH,20251208,74782.3,,SH,citydata_fund_share
589720.SH,20251209,77182.3,,SH,citydata_fund_share
589720.SH,20251210,75582.3,,SH,citydata_fund_share
589720.SH,20251211,73082.3,,SH,citydata_fund_share
589720.SH,20251212,73182.3,,SH,citydata_fund_share
589720.SH,20251215,76282.3,,SH,citydata_fund_share
589720.SH,20251216,79982.3,,SH,citydata_fund_share
589720.SH,20251217,79482.3,,SH,citydata_fund_share
589720.SH,20251218,80882.3,,SH,citydata_fund_share
589720.SH,20251219,77582.3,,SH,citydata_fund_share
589720.SH,20251222,76582.3,,SH,citydata_fund_share
589720.SH,20251223,75582.3,,SH,citydata_fund_share
589720.SH,20251224,75182.3,,SH,citydata_fund_share
589720.SH,20251225,77282.3,,SH,citydata_fund_share
589720.SH,20251226,76882.3,,SH,citydata_fund_share
589720.SH,20251229,76682.3,,SH,citydata_fund_share
589720.SH,20251230,79282.3,,SH,citydata_fund_share
589720.SH,20251231,79082.3,,SH,citydata_fund_share
589720.SH,20260105,72782.3,,SH,citydata_fund_share
589720.SH,20260106,70882.3,,SH,citydata_fund_share
589720.SH,20260107,66982.3,,SH,citydata_fund_share
589720.SH,20260108,64982.3,,SH,citydata_fund_share
589720.SH,20260109,65282.3,,SH,citydata_fund_share
589720.SH,20260112,71082.3,,SH,citydata_fund_share
589720.SH,20260113,72082.3,,SH,citydata_fund_share
589720.SH,20260114,74882.3,,SH,citydata_fund_share
589720.SH,20260115,77982.3,,SH,citydata_fund_share
589720.SH,20260116,80282.3,,SH,citydata_fund_share
589720.SH,20260119,84882.3,,SH,citydata_fund_share
589720.SH,20260120,92482.3,,SH,citydata_fund_share
589720.SH,20260121,95082.3,,SH,citydata_fund_share
589720.SH,20260122,106282.3,,SH,citydata_fund_share
589720.SH,20260123,107482.3,,SH,citydata_fund_share
589720.SH,20260126,122582.3,,SH,citydata_fund_share
589720.SH,20260127,124882.3,,SH,citydata_fund_share
589720.SH,20260128,127782.3,,SH,citydata_fund_share
589720.SH,20260129,140282.3,,SH,citydata_fund_share
589720.SH,20260130,153082.3,,SH,citydata_fund_share
589720.SH,20260202,170182.3,,SH,citydata_fund_share
589720.SH,20260203,176982.3,,SH,citydata_fund_share
589720.SH,20260204,177682.3,,SH,citydata_fund_share
589720.SH,20260205,176982.3,,SH,citydata_fund_share
589720.SH,20260206,175082.3,,SH,citydata_fund_share
589720.SH,20260209,174982.3,,SH,citydata_fund_share
589720.SH,20260210,165482.3,,SH,citydata_fund_share
589720.SH,20260211,161682.3,,SH,citydata_fund_share
589720.SH,20260212,160582.3,,SH,citydata_fund_share
589720.SH,20260213,157982.3,,SH,citydata_fund_share
589720.SH,20260224,159182.3,,SH,citydata_fund_share
589720.SH,20260225,155382.3,,SH,citydata_fund_share
589720.SH,20260226,156282.3,,SH,citydata_fund_share
589720.SH,20260227,156682.3,,SH,citydata_fund_share
589720.SH,20260302,162182.3,,SH,citydata_fund_share
589720.SH,20260303,170082.3,,SH,citydata_fund_share
589720.SH,20260304,168582.3,,SH,citydata_fund_share
589720.SH,20260305,167882.3,,SH,citydata_fund_share
589720.SH,20260306,164682.3,,SH,citydata_fund_share
589720.SH,20260309,163882.3,,SH,citydata_fund_share
589720.SH,20260310,151582.3,,SH,citydata_fund_share
589720.SH,20260311,153082.3,,SH,citydata_fund_share
589720.SH,20260312,156782.3,,SH,citydata_fund_share
589720.SH,20260313,157682.3,,SH,citydata_fund_share
589720.SH,20260316,157482.3,,SH,citydata_fund_share
589720.SH,20260317,152282.3,,SH,citydata_fund_share
589720.SH,20260318,149782.3,,SH,citydata_fund_share
589720.SH,20260319,150482.3,,SH,citydata_fund_share
589720.SH,20260320,150482.3,,SH,citydata_fund_share
589720.SH,20260323,153182.3,,SH,citydata_fund_share
589720.SH,20260324,156382.3,,SH,citydata_fund_share
589720.SH,20260325,155982.3,,SH,citydata_fund_share
589720.SH,20260326,153982.3,,SH,citydata_fund_share
589720.SH,20260327,144682.3,,SH,citydata_fund_share
589720.SH,20260330,142582.3,,SH,citydata_fund_share
589720.SH,20260331,141882.3,,SH,citydata_fund_share
589720.SH,20260401,133182.3,,SH,citydata_fund_share
589720.SH,20260402,139782.3,,SH,citydata_fund_share
589720.SH,20260403,139682.3,,SH,citydata_fund_share
589720.SH,20260407,144682.3,,SH,citydata_fund_share
589720.SH,20260408,151282.3,,SH,citydata_fund_share
589720.SH,20260409,150382.3,,SH,citydata_fund_share
589720.SH,20260410,142882.3,,SH,citydata_fund_share
589720.SH,20260413,141782.3,,SH,citydata_fund_share
589720.SH,20260414,147382.3,,SH,citydata_fund_share
589720.SH,20260415,151982.3,,SH,citydata_fund_share
589720.SH,20260416,154382.3,,SH,citydata_fund_share
589720.SH,20260417,160482.3,,SH,citydata_fund_share
589720.SH,20260420,163682.3,,SH,citydata_fund_share
589720.SH,20260421,160282.3,,SH,citydata_fund_share
589720.SH,20260422,158382.3,,SH,citydata_fund_share
589720.SH,20260423,164182.3,,SH,citydata_fund_share
589720.SH,20260424,163382.3,,SH,citydata_fund_share
589720.SH,20260427,165582.3,,SH,citydata_fund_share
589720.SH,20260428,170382.3,,SH,citydata_fund_share
589720.SH,20260429,166582.3,,SH,citydata_fund_share
589720.SH,20260508,166982.0,,SH,citydata_fund_share
589720.SH,20260511,176882.3,ETF,SH,citydata_fund_share
589720.SH,20260512,188382.0,ETF,SH,citydata_fund_share
589720.SH,20260513,184982.0,ETF,SH,citydata_fund_share
589720.SH,20260514,180282.0,ETF,SH,citydata_fund_share
589720.SH,20260515,180482.0,ETF,SH,citydata_fund_share
589720.SH,20260518,180682.0,ETF,SH,citydata_fund_share
589720.SH,20260519,179882.0,ETF,SH,citydata_fund_share
589720.SH,20260520,177582.0,ETF,SH,citydata_fund_share
589720.SH,20260521,181682.0,ETF,SH,citydata_fund_share
589720.SH,20260522,187982.0,ETF,SH,citydata_fund_share
589720.SH,20260525,187182.0,ETF,SH,citydata_fund_share
589720.SH,20260526,188082.0,ETF,SH,citydata_fund_share
589720.SH,20260527,179582.0,ETF,SH,citydata_fund_share
589720.SH,20260528,182882.0,ETF,SH,citydata_fund_share
589720.SH,20260529,184382.0,ETF,SH,citydata_fund_share
589720.SH,20260601,185682.0,ETF,SH,citydata_fund_share
589720.SH,20260602,198082.0,ETF,SH,citydata_fund_share
589720.SH,20260603,201382.0,ETF,SH,citydata_fund_share
589720.SH,20260604,203782.0,ETF,SH,citydata_fund_share
589720.SH,20260605,205182.0,ETF,SH,citydata_fund_share
589720.SH,20260608,195782.0,ETF,SH,citydata_fund_share
589720.SH,20260609,192382.0,ETF,SH,citydata_fund_share
589720.SH,20260610,189982.0,ETF,SH,citydata_fund_share
589720.SH,20260611,188382.0,ETF,SH,citydata_fund_share
589720.SH,20260612,183882.0,ETF,SH,citydata_fund_share
589720.SH,20260615,193382.0,ETF,SH,citydata_fund_share
589720.SH,20260616,195082.0,ETF,SH,citydata_fund_share
589720.SH,20260617,194682.0,ETF,SH,citydata_fund_share
589720.SH,20260618,191082.0,ETF,SH,citydata_fund_share
589720.SH,20260623,197782.3008,,,eastmoney_fund_etf_spot_em
